sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
HTTP Request,5465,111,7,7034,200,253.78852495209352,0.0,88.58666580214295,244.56494552993954,2827.0
TOTAL,5465,111,7,7034,200,253.78852495209352,0.0,88.58666580214295,244.56494552993954,2827.0
