sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
HTTP Request,5465,111,76,200,7,7034,0.0,88.58666580214295,244.56494552993954,253.78852495209352
TOTAL,5465,111,76,200,7,7034,0.0,88.58666580214295,244.56494552993954,253.78852495209352
