sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
HTTP Request,8771,69,4,7377,12,576.3165349754674,0.0,62.76027877556277,173.264949314957,2827.0
TOTAL,8771,69,4,7377,12,576.3165349754674,0.0,62.76027877556277,173.264949314957,2827.0
