sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
HTTP Request,102,4643,5139,6769,157,7527,0.0,12.983706720977596,35.844666894730146,1927.8984451574313
TOTAL,102,4643,5139,6769,157,7527,0.0,12.983706720977596,35.844666894730146,1927.8984451574313
